Site;maa - tendance additive, saisonnalité additive;mam - tendance additive, saisonnalité multiplicative;mmm - tendance multiplicative, saisonnalité multiplicative
business insider;1114,4;999,9;1014,0
ca m'intéresse;971,4;936,7;940,2
capital;797,8;790,2;794,1
ce soir tv;336,9;350,2;331,8
cuisine actuelle;374,2;328,8;337,7
femme actuelle;675,6;684,7;679,0
gala;619,7;625,5;623,3
geo;790,1;790,7;787,2
neon;1022,0;907,4;910,9
télé 2 semaines;505,0;496,2;502,7
télé loisirs;833,0;828,0;834,0
voici;672,7;672,4;669,9
