"","site","maa","mam","mmm"
"1","business insider","0.509641642748359","0.181999185445381","0.283348513386253"
"2","ca m'intéresse","4.84734580303967","3.733657698975","3.72450170994677"
"3","capital","2.04260427519146","2.22051081782315","2.41956714243514"
"4","ce soir tv","1.30251323594364","1.58071312611321","1.42626132374917"
"5","cuisine actuelle","0.655934085101999","0.579771458011624","0.646853320961313"
"6","femme actuelle","1.84407576951903","1.97741948379733","2.07853118090288"
"7","gala","1.55999650789763","1.54209324113611","1.83627004650735"
"8","geo","1.82036091050824","2.3563082114956","1.74686738806283"
"9","neon","6.73142563377109","6.81579548587933","6.61652498523659"
"10","télé 2 semaines","0.997287090025292","1.1376698967249","1.20022623067873"
"11","télé loisirs","2.47182322218944","2.34174862131521","2.21319021017818"
"12","voici","0.627906073104564","0.870148223650564","0.765645823580203"
